18/09/2018 | 13:49:46 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0001 | Endereço C:\GitTI\DESENV_DLL\P00MULTI.MDB, Tipo 1
18/09/2018 | 13:49:46 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0002 | AGE0001 - Início do processamento do programa P46V101.
18/09/2018 | 13:49:53 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0003 | AGE0004 - Opção selecionada: arquivo - pesquisa cotações, propostas, apólices e protocolo.
18/09/2018 | 13:50:14 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0004 | AGE0001 - gpP46v100Main Início do processamento do programa P46V101.
18/09/2018 | 13:50:15 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0005 | 1 segundos - mfCarregar_101A Objetos 01826060257847593667
18/09/2018 | 13:50:15 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0006 | 0 segundos - mpHabControles 01826060257847593667
18/09/2018 | 13:50:15 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0007 | 0 segundos - mpAtualizaJurosNovo 01826060257847593667
18/09/2018 | 13:50:16 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0008 | 1 segundos - mfPosComum 01826060257847593667
18/09/2018 | 13:50:16 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0009 | 0 segundos - mpAtualizaJurosNovo 01826060257847593667
18/09/2018 | 13:50:19 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0010 | 3 segundos - mpPosItem 01826060257847593667
18/09/2018 | 13:50:19 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0011 | 5 segundos - mfCarregar_101A 01826060257847593667
18/09/2018 | 13:57:04 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0001 | Endereço C:\GitTI\DESENV_DLL\P00MULTI.MDB, Tipo 1
18/09/2018 | 13:57:05 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0002 | AGE0001 - Início do processamento do programa P46V101.
18/09/2018 | 14:01:09 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0003 | AGE0004 - Opção selecionada: arquivo - pesquisa cotações, propostas, apólices e protocolo.
18/09/2018 | 14:02:16 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0004 | AGE0001 - gpP46v100Main Início do processamento do programa P46V101.
18/09/2018 | 14:02:17 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0005 | 1 segundos - mfCarregar_101A Objetos 01826060257847593667
18/09/2018 | 14:02:18 | rbercot              | WSPOSLU11MHC72   | P46V101      | 0000 | 0006 | 1 segundos - mpHabControles 01826060257847593667
