21/03/2012 | 11:25:38 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0001 | Buscou Syasedi.exe
21/03/2012 | 11:25:38 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0002 | Não foram obtidos arquivos .006
21/03/2012 | 11:25:38 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0003 | Buscou Syasedi.exe
21/03/2012 | 11:25:38 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0004 | Buscou Syasedi.exe
21/03/2012 | 11:25:38 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0005 | Buscou Syasedi.exe
21/03/2012 | 11:25:38 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0006 | Buscou Syasedi.exe
21/03/2012 | 11:27:31 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | Yasuda       | 0001 | FTE0067 - Erro ao verificar base de dados P0043700: base de dados não localizada.  C:\User_c\Projetos\P46V101\P0043700.MDB  O sistema será encerrado.
21/03/2012 | 11:27:37 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | Yasuda       | 0002 | FTE0025 - Arquivo não localizado: C:\User_C\Projetos\P46V101\COMPONENTES.INI.  O sistema será encerrado.
21/03/2012 | 11:28:09 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0001 | Buscou Syasedi.exe
21/03/2012 | 11:28:09 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0002 | Não foram obtidos arquivos .006
21/03/2012 | 11:28:09 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0003 | Buscou Syasedi.exe
21/03/2012 | 11:28:09 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0004 | Buscou Syasedi.exe
21/03/2012 | 11:28:09 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0005 | Buscou Syasedi.exe
21/03/2012 | 11:28:09 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0006 | Buscou Syasedi.exe
21/03/2012 | 11:29:39 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0001 | Buscou Syasedi.exe
21/03/2012 | 11:29:39 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0002 | Não foram obtidos arquivos .006
21/03/2012 | 11:29:39 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0003 | Buscou Syasedi.exe
21/03/2012 | 11:29:39 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0004 | Buscou Syasedi.exe
21/03/2012 | 11:29:39 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0005 | Buscou Syasedi.exe
21/03/2012 | 11:29:39 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0006 | Buscou Syasedi.exe
21/03/2012 | 13:38:53 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0001 | Buscou Syasedi.exe
21/03/2012 | 13:38:53 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0002 | Não foram obtidos arquivos .006
21/03/2012 | 13:38:53 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0003 | Buscou Syasedi.exe
21/03/2012 | 13:38:53 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0004 | Buscou Syasedi.exe
21/03/2012 | 13:38:53 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0005 | Buscou Syasedi.exe
21/03/2012 | 13:38:53 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0006 | Buscou Syasedi.exe
21/03/2012 | 13:40:40 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0001 | Buscou Syasedi.exe
21/03/2012 | 13:40:40 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0002 | Não foram obtidos arquivos .006
21/03/2012 | 13:40:40 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0003 | Buscou Syasedi.exe
21/03/2012 | 13:40:40 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0004 | Buscou Syasedi.exe
21/03/2012 | 13:40:40 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0005 | Buscou Syasedi.exe
21/03/2012 | 13:40:40 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0006 | Buscou Syasedi.exe
21/03/2012 | 13:41:30 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | P28V400      | 0001 | FTE0067 - Erro ao verificar base de dados P0043700: base de dados não localizada.  C:\User_c\Projetos\P46V101\P0043700.MDB  O sistema será encerrado.
21/03/2012 | 13:52:31 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0001 | Buscou Syasedi.exe
21/03/2012 | 13:52:31 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0002 | Não foram obtidos arquivos .006
21/03/2012 | 13:52:31 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0003 | Buscou Syasedi.exe
21/03/2012 | 13:52:31 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0004 | Buscou Syasedi.exe
21/03/2012 | 13:52:31 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0005 | Buscou Syasedi.exe
21/03/2012 | 13:52:31 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0006 | Buscou Syasedi.exe
21/03/2012 | 13:54:02 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0001 | Buscou Syasedi.exe
21/03/2012 | 13:54:02 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0002 | Não foram obtidos arquivos .006
21/03/2012 | 13:54:02 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0003 | Buscou Syasedi.exe
21/03/2012 | 13:54:02 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0004 | Buscou Syasedi.exe
21/03/2012 | 13:54:02 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0005 | Buscou Syasedi.exe
21/03/2012 | 13:54:02 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0006 | Buscou Syasedi.exe
21/03/2012 | 13:54:08 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | P28V400      | 0001 | FTE0067 - Erro ao verificar base de dados P0043700: base de dados não localizada.  C:\User_c\Projetos\P46V101\P0043700.MDB  O sistema será encerrado.
21/03/2012 | 13:55:58 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0001 | Buscou Syasedi.exe
21/03/2012 | 13:55:58 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0002 | Não foram obtidos arquivos .006
21/03/2012 | 13:55:58 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0003 | Buscou Syasedi.exe
21/03/2012 | 13:55:58 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0004 | Buscou Syasedi.exe
21/03/2012 | 13:55:58 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0005 | Buscou Syasedi.exe
21/03/2012 | 13:55:58 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | yasuda       | 0006 | Buscou Syasedi.exe
21/03/2012 | 13:56:03 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | P28V400      | 0001 | FTE0067 - Erro ao verificar base de dados P0044400: base de dados não localizada.  C:\User_c\Projetos\P46V101\P0044400.MDB  O sistema será encerrado.
21/03/2012 | 13:56:56 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | Yasuda       | 0001 | FTE0067 - Erro ao verificar base de dados P0044900: base de dados não localizada.  C:\User_c\Projetos\P46V101\P0044900.MDB  O sistema será encerrado.
21/03/2012 | 13:57:02 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | Yasuda       | 0002 | FTE0025 - Arquivo não localizado: C:\User_C\Projetos\P46V101\COMPONENTES.INI.  O sistema será encerrado.
21/03/2012 | 13:57:59 | 553553               | WI511200FSLU229  | Yasuda       | 0001 | FTE0025 - Arquivo não localizado: C:\User_C\Projetos\P46V101\COMPONENTES.INI.  O sistema será encerrado.
