 | 20:11:57 | XXXXXXXXXXXXXXXXXXXX | PCCMPFSLUMP862   | P46V101      | 0000 | 0001 | 53 File not found
 | 20:11:58 | XXXXXXXXXXXXXXXXXXXX | PCCMPFSLUMP862   | P46V101      | 0000 | 0002 | T46V001.Load ERRO - Verificando a versão 2 - 0 
 | 20:11:59 | XXXXXXXXXXXXXXXXXXXX | PCCMPFSLUMP862   | P46V101      | 0000 | 0003 | AGE0007 - Encerrado processamento do programa P46V101.
25/04/2018 | 20:14:23 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0001 | Endereço C:\TI\Bitbucket\VB6\P46V999\MAIN_UX_LMI_DLL_KIT\P00MULTI.MDB, Tipo 1
25/04/2018 | 20:14:23 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0002 | AGE0001 - Início do processamento do programa P46V101.
25/04/2018 | 20:14:54 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0003 | AGE0004 - Opção selecionada: arquivo - seguro novo.
25/04/2018 | 20:14:59 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0004 | AGE0001 - gpP46v100Main Início do processamento do programa P46V101.
25/04/2018 | 20:15:00 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0005 | 0 segundos - mfCarregar_101A Objetos 01811572894224834620
25/04/2018 | 20:15:00 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0006 | 0 segundos - mpAtualizaJurosNovo 01811572894224834620
25/04/2018 | 20:15:00 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0007 | 0 segundos - mfPosComum 01811572894224834620
25/04/2018 | 20:15:00 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0008 | 0 segundos - mpAtualizaJurosNovo 01811572894224834620
25/04/2018 | 20:15:00 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0009 | 0 segundos - mpPosItem 01811572894224834620
25/04/2018 | 20:15:00 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0010 | 0 segundos - mfCarregar_101A 01811572894224834620
25/04/2018 | 20:15:26 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0011 | 0 segundos - mfCarregar_101A Objetos PADRAOLGGOME114
25/04/2018 | 20:15:26 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0012 | 0 segundos - mpHabControles PADRAOLGGOME114
25/04/2018 | 20:15:27 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0013 | 1 segundos - mpAtualizaJurosNovo PADRAOLGGOME114
25/04/2018 | 20:15:27 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0014 | 1 segundos - mfPosComum PADRAOLGGOME114
25/04/2018 | 20:15:27 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0015 | 0 segundos - mpAtualizaJurosNovo PADRAOLGGOME114
25/04/2018 | 20:15:28 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0016 | 1 segundos - mpPosItem PADRAOLGGOME114
25/04/2018 | 20:15:28 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0017 | 2 segundos - mfCarregar_101A PADRAOLGGOME114
25/04/2018 | 20:15:28 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0018 | 0 segundos - mpHabControles 01811572894224834620
25/04/2018 | 20:15:28 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0019 | 0 segundos - mpAtualizaJurosNovo 01811572894224834620
25/04/2018 | 20:15:41 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0020 | 0 segundos - mpAtualizaJurosNovo 01811572894224834620
25/04/2018 | 20:16:46 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0021 | mfCarregarDePara -> Será fechado SQL Source= EXEC dbo.proc_Buscar_De_Para 0,10,1169,NULL,NULL,NULL
25/04/2018 | 20:16:46 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0022 | 4 segundos - mfCalPreItem 01811572894224834620 Item: 1
25/04/2018 | 20:16:58 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0023 | 1 segundos - mfCalPreItem 01811572894224834620 Item: 1
25/04/2018 | 20:17:16 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0024 | FNL0010 - Código da unidade de negócios não localizado (0).
25/04/2018 | 20:17:22 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0025 | FGE0116 - Cotação 014282 -  Item 1 Desconto Comercial inválido (acima do Limite Permitido).
25/04/2018 | 20:17:32 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0026 | 10 segundos - mfCalPreItem 01811572894224834620 Item: 1
25/04/2018 | 20:17:32 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0027 | FGE0116 - Cotação 014282 -  Item 1 Desconto Comercial inválido (acima do Limite Permitido).
25/04/2018 | 20:17:42 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0028 | 1 segundos - mfCalPreItem 01811572894224834620 Item: 1
25/04/2018 | 20:17:48 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0029 | 0 segundos - mfCalPreItem 01811572894224834620 Item: 1
25/04/2018 | 20:18:20 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0030 | AGE0007 - Encerrado processamento do programa P46V101.
25/04/2018 | 20:18:26 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0031 | AGE0004 - Opção selecionada: arquivo - seguro novo.
25/04/2018 | 20:18:29 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0032 | AGE0001 - gpP46v100Main Início do processamento do programa P46V101.
25/04/2018 | 20:18:29 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0033 | 0 segundos - mfCarregar_101A Objetos 01811573106366019850
25/04/2018 | 20:18:29 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0034 | 0 segundos - mpAtualizaJurosNovo 01811573106366019850
25/04/2018 | 20:18:29 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0035 | 0 segundos - mfPosComum 01811573106366019850
25/04/2018 | 20:18:29 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0036 | 0 segundos - mpAtualizaJurosNovo 01811573106366019850
25/04/2018 | 20:18:30 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0037 | 1 segundos - mpPosItem 01811573106366019850
25/04/2018 | 20:18:30 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0038 | 1 segundos - mfCarregar_101A 01811573106366019850
25/04/2018 | 20:18:32 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0039 | 0 segundos - mfCarregar_101A Objetos PADRAOLGGOME113
25/04/2018 | 20:18:33 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0040 | 1 segundos - mpHabControles PADRAOLGGOME113
25/04/2018 | 20:18:33 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0041 | 0 segundos - mpAtualizaJurosNovo PADRAOLGGOME113
25/04/2018 | 20:18:33 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0042 | 1 segundos - mfPosComum PADRAOLGGOME113
25/04/2018 | 20:18:33 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0043 | 0 segundos - mpAtualizaJurosNovo PADRAOLGGOME113
25/04/2018 | 20:18:33 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0044 | 0 segundos - mpPosItem PADRAOLGGOME113
25/04/2018 | 20:18:33 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0045 | 1 segundos - mfCarregar_101A PADRAOLGGOME113
25/04/2018 | 20:18:33 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0046 | 0 segundos - mpHabControles 01811573106366019850
25/04/2018 | 20:18:33 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0047 | 0 segundos - mpAtualizaJurosNovo 01811573106366019850
25/04/2018 | 20:18:38 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0048 | 0 segundos - mpAtualizaJurosNovo 01811573106366019850
25/04/2018 | 20:18:40 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0049 | 0 segundos - mpAtualizaJurosNovo 01811573106366019850
25/04/2018 | 20:19:21 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0050 | mfSalvarItem ERRO - 381 Invalid property array indexCheckPoint 5 - 
25/04/2018 | 20:19:21 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0051 | mfSalvar ERRO - 
25/04/2018 | 20:19:38 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0052 | mfSalvarItem ERRO - 381 Invalid property array indexCheckPoint 5 - 
25/04/2018 | 20:19:38 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0053 | mfSalvar ERRO - 
25/04/2018 | 20:19:50 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0054 | 2 segundos - mfCalPreItem 01811573106366019850 Item: 1
25/04/2018 | 20:20:24 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0055 | 0 segundos - mpAtualizaJurosNovo 01811573106366019850
25/04/2018 | 20:20:27 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0056 | 0 segundos - mpAtualizaJurosNovo 01811573106366019850
25/04/2018 | 20:20:31 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0057 | 1 segundos - mfCalPreItem 01811573106366019850 Item: 1
25/04/2018 | 20:23:43 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0058 | AGE0007 - Encerrado processamento do programa P46V101.
25/04/2018 | 20:23:43 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0059 | AGE0007 - Encerrado processamento do programa P46V101.
25/04/2018 | 20:24:44 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0001 | gpAtualizaIni: Caminho encontrado = C:\User_D\tfs\TI\P46V999\MAIN\CXY_WMF\
25/04/2018 | 20:24:44 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0002 | gpAtualizaIni: corrigindo caminho = 
25/04/2018 | 20:24:44 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0003 | gpAtualizaIni: Atualizando caminho CONFIG =
25/04/2018 | 20:24:44 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0004 | Endereço C:\TI\Bitbucket\VB6\P46V999\MAIN_UX_LMI_DLL_KIT\P00MULTI.MDB, Tipo 1
25/04/2018 | 20:24:44 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0005 | AGE0001 - Início do processamento do programa P46V101.
25/04/2018 | 20:24:51 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0006 | [ERR] - FTE0039 - Erro ao obter registro (Erro = -2147217865 - Invalid object name 'Tbm_VR_LMG_Agrav'. - comando: Select top 1 * from Tbm_VR_LMG_Agrav WITH (NOLOCK) ).
25/04/2018 | 20:24:51 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0007 | [ERR] - FTE0038 - Erro ao executar comando SQL: -2147217900 - Incorrect syntax near the keyword 'NOT'. - CREATE TABLE Tbm_VR_LMG_Agrav (   COD_RAMO        INT NOT NULL ,   COD_COBERT      INT NOT NULL ,   COD_TARIF       INT NOT NULL ,   PROP_LMG_VR     INT NOT NULL ,   Percent_Agravo  DOUBLE NOT NULL ) SQL Mensagem: CREATE TABLE Tbm_VR_LMG_Agrav (   COD_RAMO        INT NOT NULL ,   COD_COBERT      INT NOT NULL ,   COD_TARIF       INT NOT NULL ,   PROP_LMG_VR     INT NOT NULL ,   Percent_Agravo  DOUBLE NOT NULL ) msg: 156 - Incorrect syntax near the keyword 'NOT'.
25/04/2018 | 20:25:07 | lggomes              | PCCMPFSLUMP862   | P46V101      | 0000 | 0008 | AGE0007 - Encerrado processamento do programa P46V101.
25/04/2018 | 20:40:00 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0001 | *****Usuário logado***** test01
25/04/2018 | 20:40:00 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0002 | 2/2//921215/test01//0
25/04/2018 | 20:40:00 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0003 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:40:09 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0004 | Tag DynaTrace: FW1;-1;-1;-1;-1;-1;-1;-1 | KeyDynaTrace 0
25/04/2018 | 20:40:09 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0005 | *****Usuário logado***** test01
25/04/2018 | 20:40:09 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0006 | 2/2//921215/test01//0
25/04/2018 | 20:40:09 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0007 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:33 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0001 | Tag DynaTrace: FW1;-1;-1;-1;-1;-1;-1;-1 | KeyDynaTrace 0
25/04/2018 | 20:41:33 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0002 | *****Usuário logado***** test01
25/04/2018 | 20:41:33 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0003 | 2/2//921215/test01//0
25/04/2018 | 20:41:33 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0004 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:33 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0005 | *****Usuário logado***** test01
25/04/2018 | 20:41:33 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0006 | 2/2//921215/test01//0
25/04/2018 | 20:41:33 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0007 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:33 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0008 | Trace - GFSalvar - Processou mfNormalizaPedido.
25/04/2018 | 20:41:34 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0009 | Trace - mfSalvarPedido - Processou GFSalvar.
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0001 | Tag DynaTrace: FW1;-1;-1;-1;-1;-1;-1;-1 | KeyDynaTrace 0
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0002 | *****Usuário logado***** test01
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0003 | 2/2//921215/test01//0
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0004 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0005 | Tag DynaTrace: FW1;-1;-1;-1;-1;-1;-1;-1 | KeyDynaTrace 0
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0006 | *****Usuário logado***** test01
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0007 | 2/2//921215/test01//0
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0008 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0009 | FGE0017 - Código corretor informado (0921007) não permitido para este usuário(test01 - Corr:0921215)
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0001 | Tag DynaTrace: FW1;-1;-1;-1;-1;-1;-1;-1 | KeyDynaTrace 0
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0002 | *****Usuário logado***** test01
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0003 | 2/2//921215/test01//0
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0004 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0005 | *****Usuário logado***** test01
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0006 | 2/2//921215/test01//0
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0007 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0008 | Trace - GFSalvar - Processou mfNormalizaPedido.
25/04/2018 | 20:41:39 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0009 | Trace - mfSalvarPedido - Processou GFSalvar.
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0001 | Tag DynaTrace: FW1;-1;-1;-1;-1;-1;-1;-1 | KeyDynaTrace 0
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0002 | *****Usuário logado***** test01
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0003 | 2/2//921215/test01//0
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0004 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0005 | *****Usuário logado***** test01
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0006 | 2/2//921215/test01//0
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0007 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0008 | Trace - GFSalvar - Processou mfNormalizaPedido.
25/04/2018 | 20:41:52 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0009 | Trace - mfSalvarPedido - Processou GFSalvar.
25/04/2018 | 20:41:54 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0001 | Tag DynaTrace: FW1;-1;-1;-1;-1;-1;-1;-1 | KeyDynaTrace 0
25/04/2018 | 20:41:54 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0002 | *****Usuário logado***** test01
25/04/2018 | 20:41:54 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0003 | 2/2//921215/test01//0
25/04/2018 | 20:41:54 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0004 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:54 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0005 | Tag DynaTrace: FW1;-1;-1;-1;-1;-1;-1;-1 | KeyDynaTrace 0
25/04/2018 | 20:41:54 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0006 | *****Usuário logado***** test01
25/04/2018 | 20:41:54 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0007 | 2/2//921215/test01//0
25/04/2018 | 20:41:54 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0008 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:55 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0009 | Quantidade de normas : 0
25/04/2018 | 20:41:55 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0010 | VerNormas:True
25/04/2018 | 20:41:55 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0011 | VerNormas
25/04/2018 | 20:41:55 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0012 | Simony2 Item: 1 Total sinistro 0
25/04/2018 | 20:42:13 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0001 | Tag DynaTrace: FW1;-1;-1;-1;-1;-1;-1;-1 | KeyDynaTrace 0
25/04/2018 | 20:42:13 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0002 | *****Usuário logado***** test01
